# x y y rain_c infi_c fric_c 
0.125 0.125 1 2 3
0.375 0.125 1 2 3
0.625 0.125 1 2 3
0.875 0.125 1 2 3
1.125 0.125 1 2 3
1.375 0.125 1 2 3
1.625 0.125 1 2 3
1.875 0.125 1 2 3
2.125 0.125 1 2 3
2.375 0.125 1 2 3
2.625 0.125 1 2 3
2.875 0.125 1 2 3
3.125 0.125 1 2 3
3.375 0.125 1 2 3
3.625 0.125 1 2 3
3.875 0.125 1 2 3
4.125 0.125 1 2 3
4.375 0.125 1 2 3
4.625 0.125 1 2 3
4.875 0.125 1 2 3
5.125 0.125 1 2 3
5.375 0.125 1 2 3
5.625 0.125 1 2 3
5.875 0.125 1 2 3
6.125 0.125 1 2 3
6.375 0.125 1 2 3
6.625 0.125 1 2 3
6.875 0.125 1 2 3
7.125 0.125 1 2 3
7.375 0.125 1 2 3
7.625 0.125 1 2 3
7.875 0.125 1 2 3
8.125 0.125 1 2 3
8.375 0.125 1 2 3
8.625 0.125 1 2 3
8.875 0.125 1 2 3
9.125 0.125 1 2 3
9.375 0.125 1 2 3
9.625 0.125 1 2 3
9.875 0.125 1 2 3
10.125 0.125 1 2 3
10.375 0.125 1 2 3
10.625 0.125 1 2 3
10.875 0.125 1 2 3
11.125 0.125 1 2 3
11.375 0.125 1 2 3
11.625 0.125 1 2 3
11.875 0.125 1 2 3
12.125 0.125 1 2 3
12.375 0.125 1 2 3
12.625 0.125 1 2 3
12.875 0.125 1 2 3
13.125 0.125 1 2 3
13.375 0.125 1 2 3
13.625 0.125 1 2 3
13.875 0.125 1 2 3
14.125 0.125 1 2 3
0.125 0.375 1 2 3
0.375 0.375 1 2 3
0.625 0.375 1 2 3
0.875 0.375 1 2 3
1.125 0.375 1 2 3
1.375 0.375 1 2 3
1.625 0.375 1 2 3
1.875 0.375 1 2 3
2.125 0.375 1 2 3
2.375 0.375 1 2 3
2.625 0.375 1 2 3
2.875 0.375 1 2 3
3.125 0.375 1 2 3
3.375 0.375 1 2 3
3.625 0.375 1 2 3
3.875 0.375 1 2 3
4.125 0.375 1 2 3
4.375 0.375 1 2 3
4.625 0.375 1 2 3
4.875 0.375 1 2 3
5.125 0.375 1 2 3
5.375 0.375 1 2 3
5.625 0.375 1 2 3
5.875 0.375 1 2 3
6.125 0.375 1 2 3
6.375 0.375 1 2 3
6.625 0.375 1 2 3
6.875 0.375 1 2 3
7.125 0.375 1 2 3
7.375 0.375 1 2 3
7.625 0.375 1 2 3
7.875 0.375 1 2 3
8.125 0.375 1 2 3
8.375 0.375 1 2 3
8.625 0.375 1 2 3
8.875 0.375 1 2 3
9.125 0.375 1 2 3
9.375 0.375 1 2 3
9.625 0.375 1 2 3
9.875 0.375 1 2 3
10.125 0.375 1 2 3
10.375 0.375 1 2 3
10.625 0.375 1 2 3
10.875 0.375 1 2 3
11.125 0.375 1 2 3
11.375 0.375 1 2 3
11.625 0.375 1 2 3
11.875 0.375 1 2 3
12.125 0.375 1 2 3
12.375 0.375 1 2 3
12.625 0.375 1 2 3
12.875 0.375 1 2 3
13.125 0.375 1 2 3
13.375 0.375 1 2 3
13.625 0.375 1 2 3
13.875 0.375 1 2 3
14.125 0.375 1 2 3
0.125 0.625 1 2 3
0.375 0.625 1 2 3
0.625 0.625 1 2 3
0.875 0.625 1 2 3
1.125 0.625 1 2 3
1.375 0.625 1 2 3
1.625 0.625 1 2 3
1.875 0.625 1 2 3
2.125 0.625 1 2 3
2.375 0.625 1 2 3
2.625 0.625 1 2 3
2.875 0.625 1 2 3
3.125 0.625 1 2 3
3.375 0.625 1 2 3
3.625 0.625 1 2 3
3.875 0.625 1 2 3
4.125 0.625 1 2 3
4.375 0.625 1 2 3
4.625 0.625 1 2 3
4.875 0.625 1 2 3
5.125 0.625 1 2 3
5.375 0.625 1 2 3
5.625 0.625 1 2 3
5.875 0.625 1 2 3
6.125 0.625 1 2 3
6.375 0.625 1 2 3
6.625 0.625 1 2 3
6.875 0.625 1 2 3
7.125 0.625 1 2 3
7.375 0.625 1 2 3
7.625 0.625 1 2 3
7.875 0.625 1 2 3
8.125 0.625 1 2 3
8.375 0.625 1 2 3
8.625 0.625 1 2 3
8.875 0.625 1 2 3
9.125 0.625 1 2 3
9.375 0.625 1 2 3
9.625 0.625 1 2 3
9.875 0.625 1 2 3
10.125 0.625 1 2 3
10.375 0.625 1 2 3
10.625 0.625 1 2 3
10.875 0.625 1 2 3
11.125 0.625 1 2 3
11.375 0.625 1 2 3
11.625 0.625 1 2 3
11.875 0.625 1 2 3
12.125 0.625 1 2 3
12.375 0.625 1 2 3
12.625 0.625 1 2 3
12.875 0.625 1 2 3
13.125 0.625 1 2 3
13.375 0.625 1 2 3
13.625 0.625 1 2 3
13.875 0.625 1 2 3
14.125 0.625 1 2 3
0.125 0.875 1 2 3
0.375 0.875 1 2 3
0.625 0.875 1 2 3
0.875 0.875 1 2 3
1.125 0.875 1 2 3
1.375 0.875 1 2 3
1.625 0.875 1 2 3
1.875 0.875 1 2 3
2.125 0.875 1 2 3
2.375 0.875 1 2 3
2.625 0.875 1 2 3
2.875 0.875 1 2 3
3.125 0.875 1 2 3
3.375 0.875 1 2 3
3.625 0.875 1 2 3
3.875 0.875 1 2 3
4.125 0.875 1 2 3
4.375 0.875 1 2 3
4.625 0.875 1 2 3
4.875 0.875 1 2 3
5.125 0.875 1 2 3
5.375 0.875 1 2 3
5.625 0.875 1 2 3
5.875 0.875 1 2 3
6.125 0.875 1 2 3
6.375 0.875 1 2 3
6.625 0.875 1 2 3
6.875 0.875 1 2 3
7.125 0.875 1 2 3
7.375 0.875 1 2 3
7.625 0.875 1 2 3
7.875 0.875 1 2 3
8.125 0.875 1 2 3
8.375 0.875 1 2 3
8.625 0.875 1 2 3
8.875 0.875 1 2 3
9.125 0.875 1 2 3
9.375 0.875 1 2 3
9.625 0.875 1 2 3
9.875 0.875 1 2 3
10.125 0.875 1 2 3
10.375 0.875 1 2 3
10.625 0.875 1 2 3
10.875 0.875 1 2 3
11.125 0.875 1 2 3
11.375 0.875 1 2 3
11.625 0.875 1 2 3
11.875 0.875 1 2 3
12.125 0.875 1 2 3
12.375 0.875 1 2 3
12.625 0.875 1 2 3
12.875 0.875 1 2 3
13.125 0.875 1 2 3
13.375 0.875 1 2 3
13.625 0.875 1 2 3
13.875 0.875 1 2 3
14.125 0.875 1 2 3
0.125 1.125 1 2 3
0.375 1.125 1 2 3
0.625 1.125 1 2 3
0.875 1.125 1 2 3
1.125 1.125 1 2 3
1.375 1.125 1 2 3
1.625 1.125 1 2 3
1.875 1.125 1 2 3
2.125 1.125 1 2 3
2.375 1.125 1 2 3
2.625 1.125 1 2 3
2.875 1.125 1 2 3
3.125 1.125 1 2 3
3.375 1.125 1 2 3
3.625 1.125 1 2 3
3.875 1.125 1 2 3
4.125 1.125 1 2 3
4.375 1.125 1 2 3
4.625 1.125 1 2 3
4.875 1.125 1 2 3
5.125 1.125 1 2 3
5.375 1.125 1 2 3
5.625 1.125 1 2 3
5.875 1.125 1 2 3
6.125 1.125 1 2 3
6.375 1.125 1 2 3
6.625 1.125 1 2 3
6.875 1.125 1 2 3
7.125 1.125 1 2 3
7.375 1.125 1 2 3
7.625 1.125 1 2 3
7.875 1.125 1 2 3
