################################################################## 
# Generated by FullSWOF_2D version 1.07.01, 2016-06-01
################################################################## 
# Discharge on the left, right, bottom and top boundaries at each time
# time	left discharge (m^3/s)	right discharge (m^3/s)	bottom discharge (m^3/s)	top discharge (m^3/s)
0	   0.2398	        0	        0	8.61372e-06
0.0069607	   0.2398	        0	        0	1.01015e-05
0.0139214	   0.2398	        0	        0	1.14219e-05
0.0208821	   0.2398	        0	        0	1.26648e-05
0.0278428	   0.2398	        0	        0	1.39082e-05
0.0348035	   0.2398	        0	        0	1.51919e-05
0.0417642	   0.2398	        0	        0	1.65541e-05
0.0487249	   0.2398	        0	        0	1.79227e-05
0.0556856	   0.2398	        0	        0	1.93055e-05
0.0626463	   0.2398	        0	        0	2.07321e-05
0.069607	   0.2398	        0	        0	2.22103e-05
0.0765677	   0.2398	        0	        0	2.37497e-05
0.0835285	   0.2398	        0	        0	2.53661e-05
0.0904892	   0.2398	        0	        0	2.70854e-05
0.0974499	   0.2398	        0	        0	2.87324e-05
0.104411	   0.2398	        0	        0	3.04704e-05
0.111371	   0.2398	        0	        0	3.22602e-05
0.118332	   0.2398	        0	        0	3.41089e-05
0.125293	   0.2398	        0	        0	3.60399e-05
0.132253	   0.2398	        0	        0	3.80398e-05
0.139214	   0.2398	        0	        0	4.00345e-05
0.146175	   0.2398	        0	        0	4.2072e-05
0.153135	   0.2398	        0	        0	4.41667e-05
0.160096	   0.2398	        0	        0	4.63731e-05
0.167057	   0.2398	        0	        0	4.85615e-05
0.174018	   0.2398	        0	        0	5.07753e-05
0.180978	   0.2398	        0	        0	5.30352e-05
0.187939	   0.2398	        0	        0	5.53968e-05
0.1949	   0.2398	        0	        0	5.77639e-05
0.20186	   0.2398	        0	        0	6.01378e-05
0.208821	   0.2398	        0	        0	6.25546e-05
0.215782	   0.2398	        0	        0	6.50649e-05
0.222743	   0.2398	        0	        0	6.759e-05
0.229703	   0.2398	        0	        0	7.01138e-05
0.236664	   0.2398	        0	        0	7.26775e-05
0.243625	   0.2398	        0	        0	7.53328e-05
0.250585	   0.2398	        0	        0	7.80051e-05
0.257546	   0.2398	        0	        0	8.06738e-05
0.264507	   0.2398	        0	        0	8.33803e-05
0.271467	   0.2398	        0	        0	8.61666e-05
0.278428	   0.2398	        0	        0	8.89915e-05
0.285389	   0.2398	        0	        0	9.18006e-05
0.29235	   0.2398	        0	        0	9.46442e-05
0.29931	   0.2398	        0	        0	9.75592e-05
0.306271	   0.2398	        0	        0	0.000100532
0.313232	   0.2398	        0	        0	0.000103481
0.320192	   0.2398	        0	        0	0.000106461
0.327153	   0.2398	        0	        0	0.000109497
0.334114	   0.2398	        0	        0	0.000112668
0.341075	   0.2398	        0	        0	0.000115706
0.348035	   0.2398	        0	        0	0.00011882
0.354996	   0.2398	        0	        0	0.000121981
0.361957	   0.2398	        0	        0	0.000125238
0.368917	   0.2398	        0	        0	0.00012847
0.375878	   0.2398	        0	        0	0.000131719
