################################################################## 
# Generated by FullSWOF_2D version 1.07.01, 2016-06-01
################################################################## 
# time	Vol_of_tot	Vol_inf_tot	Vol_rain_tot	Vol_bound_tot
0.0069607	0.0199052	        0	        0	-0.00166912
0.0139214	0.0215743	        0	        0	-0.00333822
0.0208821	0.0232434	        0	        0	-0.00500732
0.0278428	0.0249125	        0	        0	-0.00667641
0.0348035	0.0265815	        0	        0	-0.00834549
0.0417642	0.0282506	        0	        0	-0.0100146
0.0487249	0.0299197	        0	        0	-0.0116836
0.0556856	0.0315887	        0	        0	-0.0133527
0.0626463	0.0332578	        0	        0	-0.0150217
0.069607	0.0349268	        0	        0	-0.0166908
0.0765677	0.0365958	        0	        0	-0.0183598
0.0835285	0.0382648	        0	        0	-0.0200288
0.0904892	0.0399338	        0	        0	-0.0216978
0.0974499	0.0416028	        0	        0	-0.0233668
0.104411	0.0432718	        0	        0	-0.0250357
0.111371	0.0449408	        0	        0	-0.0267047
0.118332	0.0466097	        0	        0	-0.0283737
0.125293	0.0482787	        0	        0	-0.0300426
0.132253	0.0499476	        0	        0	-0.0317115
0.139214	0.0516165	        0	        0	-0.0333804
0.146175	0.0532854	        0	        0	-0.0350493
0.153135	0.0549543	        0	        0	-0.0367182
0.160096	0.0566231	        0	        0	-0.0383871
0.167057	 0.058292	        0	        0	-0.040056
0.174018	0.0599608	        0	        0	-0.0417248
0.180978	0.0616297	        0	        0	-0.0433936
0.187939	0.0632985	        0	        0	-0.0450624
0.1949	0.0649673	        0	        0	-0.0467312
0.20186	 0.066636	        0	        0	  -0.0484
0.208821	0.0683048	        0	        0	-0.0500687
0.215782	0.0699735	        0	        0	-0.0517375
0.222743	0.0716423	        0	        0	-0.0534062
0.229703	 0.073311	        0	        0	-0.0550749
0.236664	0.0749797	        0	        0	-0.0567436
0.243625	0.0766483	        0	        0	-0.0584123
0.250585	 0.078317	        0	        0	-0.0600809
0.257546	0.0799856	        0	        0	-0.0617496
0.264507	0.0816542	        0	        0	-0.0634182
0.271467	0.0833228	        0	        0	-0.0650868
0.278428	0.0849914	        0	        0	-0.0667554
0.285389	  0.08666	        0	        0	-0.0684239
0.29235	0.0883285	        0	        0	-0.0700924
0.29931	 0.089997	        0	        0	-0.071761
0.306271	0.0916655	        0	        0	-0.0734295
0.313232	 0.093334	        0	        0	-0.0750979
0.320192	0.0950024	        0	        0	-0.0767664
0.327153	0.0966709	        0	        0	-0.0784348
0.334114	0.0983393	        0	        0	-0.0801032
0.341075	 0.100008	        0	        0	-0.0817716
0.348035	 0.101676	        0	        0	 -0.08344
0.354996	 0.103344	        0	        0	-0.0851084
0.361957	 0.105013	        0	        0	-0.0867767
0.368917	 0.106681	        0	        0	-0.088445
0.375878	 0.108349	        0	        0	-0.0901133
0.382839	 0.110018	        0	        0	-0.0917815
0.389799	 0.111686	        0	        0	-0.0934498
0.39676	 0.113354	        0	        0	-0.095118
0.403721	 0.115022	        0	        0	-0.0967862
0.410682	  0.11669	        0	        0	-0.0984543
0.417642	 0.118359	        0	        0	-0.100122
0.424603	 0.120027	        0	        0	-0.101791
0.431564	 0.121695	        0	        0	-0.103459
0.438524	 0.123363	        0	        0	-0.105127
0.445485	 0.125031	        0	        0	-0.106795
0.452446	 0.126699	        0	        0	-0.108463
0.459406	 0.128367	        0	        0	-0.110131
0.466367	 0.130035	        0	        0	-0.111799
0.473328	 0.131703	        0	        0	-0.113467
0.480289	 0.133371	        0	        0	-0.115135
0.487249	 0.135039	        0	        0	-0.116803
0.49421	 0.136706	        0	        0	 -0.11847
0.501171	 0.138374	        0	        0	-0.120138
0.508131	 0.140042	        0	        0	-0.121806
0.515092	  0.14171	        0	        0	-0.123474
0.522053	 0.143378	        0	        0	-0.125142
0.529014	 0.145045	        0	        0	-0.126809
0.535974	 0.146713	        0	        0	-0.128477
0.542935	 0.148381	        0	        0	-0.130145
0.549896	 0.150048	        0	        0	-0.131812
0.556856	 0.151716	        0	        0	 -0.13348
0.563817	 0.153384	        0	        0	-0.135148
0.570778	 0.155051	        0	        0	-0.136815
