################################################################## 
# Generated by FullSWOF_2D version 1.07.01, 2016-06-01
################################################################## 
# Final Time
#(i-0.5)*dx	(j-0.5)*dy	h[i][j]	u[i][j]	v[i][j]	h[i][j]+z[i][j]	z[i][j]	velocity_norm[i][j]	Fr[i][j] (Froude)	qx[i][j]	qy[i][j]	q[i][j]
#
0.0381	   0.0381	0.0149303	  3.76178	0.000168742	  10.0149	       10	  3.76178	  9.82936	0.00427974	1.91976e-07	0.0561645
0.0381	   0.1143	0.0149378	  3.76181	0.0003528	  10.0148	  9.99985	  3.76181	  9.82693	0.00428193	4.0158e-07	0.0561933
0.0381	   0.1905	0.0149385	  3.76181	0.000369348	  10.0146	   9.9997	  3.76181	  9.82671	0.00428212	4.20434e-07	0.0561958
0.0381	   0.2667	0.0149386	  3.76181	0.000370832	  10.0145	  9.99954	  3.76181	  9.82669	0.00428214	4.22125e-07	0.0561961
0.0381	   0.3429	0.0149386	  3.76181	0.000370965	  10.0143	  9.99939	  3.76181	  9.82669	0.00428214	4.22277e-07	0.0561961
0.0381	   0.4191	0.0149386	  3.76181	0.000370977	  10.0142	  9.99924	  3.76181	  9.82669	0.00428214	4.22291e-07	0.0561961
0.0381	   0.4953	0.0149386	  3.76181	0.000370978	   10.014	  9.99909	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   0.5715	0.0149386	  3.76181	0.000370978	  10.0139	  9.99893	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   0.6477	0.0149386	  3.76181	0.000370978	  10.0137	  9.99878	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   0.7239	0.0149386	  3.76181	0.000370978	  10.0136	  9.99863	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   0.8001	0.0149386	  3.76181	0.000370978	  10.0134	  9.99848	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   0.8763	0.0149386	  3.76181	0.000370978	  10.0133	  9.99832	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   0.9525	0.0149386	  3.76181	0.000370978	  10.0131	  9.99817	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   1.0287	0.0149386	  3.76181	0.000370978	   10.013	  9.99802	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   1.1049	0.0149386	  3.76181	0.000370978	  10.0128	  9.99787	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   1.1811	0.0149386	  3.76181	0.000370978	  10.0127	  9.99771	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   1.2573	0.0149386	  3.76181	0.000370978	  10.0125	  9.99756	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   1.3335	0.0149386	  3.76181	0.000370978	  10.0123	  9.99741	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   1.4097	0.0149386	  3.76181	0.000370978	  10.0122	  9.99726	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   1.4859	0.0149386	  3.76181	0.000370978	   10.012	   9.9971	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   1.5621	0.0149386	  3.76181	0.000370978	  10.0119	  9.99695	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   1.6383	0.0149386	  3.76181	0.000370978	  10.0117	   9.9968	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   1.7145	0.0149386	  3.76181	0.000370978	  10.0116	  9.99665	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   1.7907	0.0149386	  3.76181	0.000370978	  10.0114	  9.99649	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   1.8669	0.0149386	  3.76181	0.000370978	  10.0113	  9.99634	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
