################################################################## 
# Generated by FullSWOF_2D version 1.07.01, 2016-06-01
################################################################## 
# (i-0.5)*dx	(j-0.5)*dy	  h[i][j]	  u[i][j]	  v[i][j]	h[i][j]+z[i][j]	  z[i][j]
0.0381 	0.0381	0.0140208	 0.937565	        0	   10.014	       10
0.0381 	0.1143	0.0140208	 0.937565	        0	  10.0139	  9.99985
0.0381 	0.1905	0.0140208	 0.937565	        0	  10.0137	   9.9997
0.0381 	0.2667	0.0140208	 0.937565	        0	  10.0136	  9.99954
0.0381 	0.3429	0.0140208	 0.937565	        0	  10.0134	  9.99939
0.0381 	0.4191	0.0140208	 0.937565	        0	  10.0133	  9.99924
0.0381 	0.4953	0.0140208	 0.937565	        0	  10.0131	  9.99909
0.0381 	0.5715	0.0140208	 0.937565	        0	   10.013	  9.99893
0.0381 	0.6477	0.0140208	 0.937565	        0	  10.0128	  9.99878
0.0381 	0.7239	0.0140208	 0.937565	        0	  10.0126	  9.99863
0.0381 	0.8001	0.0140208	 0.937565	        0	  10.0125	  9.99848
0.0381 	0.8763	0.0140208	 0.937565	        0	  10.0123	  9.99832
0.0381 	0.9525	0.0140208	 0.937565	        0	  10.0122	  9.99817
0.0381 	1.0287	0.0140208	 0.937565	        0	   10.012	  9.99802
0.0381 	1.1049	0.0140208	 0.937565	        0	  10.0119	  9.99787
0.0381 	1.1811	0.0140208	 0.937565	        0	  10.0117	  9.99771
0.0381 	1.2573	0.0140208	 0.937565	        0	  10.0116	  9.99756
0.0381 	1.3335	0.0140208	 0.937565	        0	  10.0114	  9.99741
0.0381 	1.4097	0.0140208	 0.937565	        0	  10.0113	  9.99726
0.0381 	1.4859	0.0140208	 0.937565	        0	  10.0111	   9.9971
0.0381 	1.5621	0.0140208	 0.937565	        0	   10.011	  9.99695
0.0381 	1.6383	0.0140208	 0.937565	        0	  10.0108	   9.9968
0.0381 	1.7145	0.0140208	 0.937565	        0	  10.0107	  9.99665
0.0381 	1.7907	0.0140208	 0.937565	        0	  10.0105	  9.99649
0.0381 	1.8669	0.0140208	 0.937565	        0	  10.0104	  9.99634
0.0381 	1.9431	0.0140208	 0.937565	        0	  10.0102	  9.99619
0.0381 	2.0193	0.0140208	 0.937565	        0	  10.0101	  9.99604
0.0381 	2.0955	0.0140208	 0.937565	        0	  10.0099	  9.99589
0.0381 	2.1717	0.0140208	 0.937565	        0	  10.0098	  9.99573
0.0381 	2.2479	0.0140208	 0.937565	        0	  10.0096	  9.99558
0.0381 	2.3241	0.0140208	 0.937565	        0	  10.0094	  9.99543
0.0381 	2.4003	0.0140208	 0.937565	        0	  10.0093	  9.99528
0.0381 	2.4765	0.0140208	 0.937565	        0	  10.0091	  9.99512
0.0381 	2.5527	0.0140208	 0.937565	        0	   10.009	  9.99497
0.0381 	2.6289	0.0140208	 0.937565	        0	  10.0088	  9.99482
0.0381 	2.7051	0.0140208	 0.937565	        0	  10.0087	  9.99467
0.0381 	2.7813	0.0140208	 0.937565	        0	  10.0085	  9.99451
0.0381 	2.8575	0.0140208	 0.937565	        0	  10.0084	  9.99436
0.0381 	2.9337	0.0140208	 0.937565	        0	  10.0082	  9.99421
0.0381 	3.0099	0.0140208	 0.937565	        0	  10.0081	  9.99406
0.0381 	3.0861	0.0140208	 0.937565	        0	  10.0079	   9.9939
0.0381 	3.1623	0.0140208	 0.937565	        0	  10.0078	  9.99375
0.0381 	3.2385	0.0140208	 0.937565	        0	  10.0076	   9.9936
0.0381 	3.3147	0.0140208	 0.937565	        0	  10.0075	  9.99345
0.0381 	3.3909	0.0140208	 0.937565	        0	  10.0073	  9.99329
0.0381 	3.4671	0.0140208	 0.937565	        0	  10.0072	  9.99314
0.0381 	3.5433	0.0140208	 0.937565	        0	   10.007	  9.99299
0.0381 	3.6195	0.0140208	 0.937565	        0	  10.0069	  9.99284
0.0381 	3.6957	0.0140208	 0.937565	        0	  10.0067	  9.99268
0.0381 	3.7719	0.0140208	 0.937565	        0	  10.0066	  9.99253
0.0381 	3.8481	0.0140208	 0.937565	        0	  10.0064	  9.99238
0.0381 	3.9243	0.0140208	 0.937565	        0	  10.0062	  9.99223
0.0381 	4.0005	0.0140208	 0.937565	        0	  10.0061	  9.99208
0.0381 	4.0767	0.0140208	 0.937565	        0	  10.0059	  9.99192
0.0381 	4.1529	0.0140208	 0.937565	        0	  10.0058	  9.99177
0.0381 	4.2291	0.0140208	 0.937565	        0	  10.0056	  9.99162

0.1143 	0.0381	0.0140208	 0.937565	        0	  10.0125	  9.99848
0.1143 	0.1143	0.0140208	 0.937565	        0	  10.0123	  9.99832
0.1143 	0.1905	0.0140208	 0.937565	        0	  10.0122	  9.99817
0.1143 	0.2667	0.0140208	 0.937565	        0	   10.012	  9.99802
0.1143 	0.3429	0.0140208	 0.937565	        0	  10.0119	  9.99787
0.1143 	0.4191	0.0140208	 0.937565	        0	  10.0117	  9.99771
0.1143 	0.4953	0.0140208	 0.937565	        0	  10.0116	  9.99756
0.1143 	0.5715	0.0140208	 0.937565	        0	  10.0114	  9.99741
0.1143 	0.6477	0.0140208	 0.937565	        0	  10.0113	  9.99726
0.1143 	0.7239	0.0140208	 0.937565	        0	  10.0111	   9.9971
0.1143 	0.8001	0.0140208	 0.937565	        0	   10.011	  9.99695
0.1143 	0.8763	0.0140208	 0.937565	        0	  10.0108	   9.9968
0.1143 	0.9525	0.0140208	 0.937565	        0	  10.0107	  9.99665
0.1143 	1.0287	0.0140208	 0.937565	        0	  10.0105	  9.99649
0.1143 	1.1049	0.0140208	 0.937565	        0	  10.0104	  9.99634
0.1143 	1.1811	0.0140208	 0.937565	        0	  10.0102	  9.99619
0.1143 	1.2573	0.0140208	 0.937565	        0	  10.0101	  9.99604
0.1143 	1.3335	0.0140208	 0.937565	        0	  10.0099	  9.99589
0.1143 	1.4097	0.0140208	 0.937565	        0	  10.0098	  9.99573
0.1143 	1.4859	0.0140208	 0.937565	        0	  10.0096	  9.99558
0.1143 	1.5621	0.0140208	 0.937565	        0	  10.0094	  9.99543
0.1143 	1.6383	0.0140208	 0.937565	        0	  10.0093	  9.99528
0.1143 	1.7145	0.0140208	 0.937565	        0	  10.0091	  9.99512
0.1143 	1.7907	0.0140208	 0.937565	        0	   10.009	  9.99497
0.1143 	1.8669	0.0140208	 0.937565	        0	  10.0088	  9.99482
0.1143 	1.9431	0.0140208	 0.937565	        0	  10.0087	  9.99467
0.1143 	2.0193	0.0140208	 0.937565	        0	  10.0085	  9.99451
