################################################################## 
# Generated by FullSWOF_2D version 1.07.01, 2016-06-01
################################################################## 
# (i-0.5)*dx	(j-0.5)*dy	Rain_choice	Infiltration_choice	Friction_Choice
0.0381	0.0381	        1	        2	        3
0.0381	0.1143	        1	        2	        3
0.0381	0.1905	        1	        2	        3
0.0381	0.2667	        1	        2	        3
0.0381	0.3429	        1	        2	        3
0.0381	0.4191	        1	        2	        3
0.0381	0.4953	        1	        2	        3
0.0381	0.5715	        1	        2	        3
0.0381	0.6477	        1	        2	        3
0.0381	0.7239	        1	        2	        3
0.0381	0.8001	        1	        2	        3
0.0381	0.8763	        1	        2	        3
0.0381	0.9525	        1	        2	        3
0.0381	1.0287	        1	        2	        3
0.0381	1.1049	        1	        2	        3
0.0381	1.1811	        1	        2	        3
0.0381	1.2573	        1	        2	        3
0.0381	1.3335	        1	        2	        3
0.0381	1.4097	        1	        2	        3
0.0381	1.4859	        1	        2	        3
0.0381	1.5621	        1	        2	        3
0.0381	1.6383	        1	        2	        3
0.0381	1.7145	        1	        2	        3
0.0381	1.7907	        1	        2	        3
0.0381	1.8669	        1	        2	        3
0.0381	1.9431	        1	        2	        3
0.0381	2.0193	        1	        2	        3
0.0381	2.0955	        1	        2	        3
0.0381	2.1717	        1	        2	        3
0.0381	2.2479	        1	        2	        3
0.0381	2.3241	        1	        2	        3
0.0381	2.4003	        1	        2	        3
0.0381	2.4765	        1	        2	        3
0.0381	2.5527	        1	        2	        3
0.0381	2.6289	        1	        2	        3
0.0381	2.7051	        1	        2	        3
0.0381	2.7813	        1	        2	        3
0.0381	2.8575	        1	        2	        3
0.0381	2.9337	        1	        2	        3
0.0381	3.0099	        1	        2	        3
0.0381	3.0861	        1	        2	        3
0.0381	3.1623	        1	        2	        3
0.0381	3.2385	        1	        2	        3
0.0381	3.3147	        1	        2	        3
0.0381	3.3909	        1	        2	        3
0.0381	3.4671	        1	        2	        3
0.0381	3.5433	        1	        2	        3
0.0381	3.6195	        1	        2	        3
0.0381	3.6957	        1	        2	        3
0.0381	3.7719	        1	        2	        3
0.0381	3.8481	        1	        2	        3
0.0381	3.9243	        1	        2	        3
0.0381	4.0005	        1	        2	        3
0.0381	4.0767	        1	        2	        3
0.0381	4.1529	        1	        2	        3
0.0381	4.2291	        1	        2	        3

0.1143	0.0381	        1	        2	        3
0.1143	0.1143	        1	        2	        3
0.1143	0.1905	        1	        2	        3
0.1143	0.2667	        1	        2	        3
0.1143	0.3429	        1	        2	        3
0.1143	0.4191	        1	        2	        3
0.1143	0.4953	        1	        2	        3
0.1143	0.5715	        1	        2	        3
0.1143	0.6477	        1	        2	        3
0.1143	0.7239	        1	        2	        3
0.1143	0.8001	        1	        2	        3
0.1143	0.8763	        1	        2	        3
0.1143	0.9525	        1	        2	        3
0.1143	1.0287	        1	        2	        3
0.1143	1.1049	        1	        2	        3
0.1143	1.1811	        1	        2	        3
0.1143	1.2573	        1	        2	        3
0.1143	1.3335	        1	        2	        3
0.1143	1.4097	        1	        2	        3
0.1143	1.4859	        1	        2	        3
0.1143	1.5621	        1	        2	        3
0.1143	1.6383	        1	        2	        3
0.1143	1.7145	        1	        2	        3
0.1143	1.7907	        1	        2	        3
0.1143	1.8669	        1	        2	        3
0.1143	1.9431	        1	        2	        3
0.1143	2.0193	        1	        2	        3
0.1143	2.0955	        1	        2	        3
0.1143	2.1717	        1	        2	        3
0.1143	2.2479	        1	        2	        3
0.1143	2.3241	        1	        2	        3
0.1143	2.4003	        1	        2	        3
0.1143	2.4765	        1	        2	        3
0.1143	2.5527	        1	        2	        3
0.1143	2.6289	        1	        2	        3
0.1143	2.7051	        1	        2	        3
0.1143	2.7813	        1	        2	        3
0.1143	2.8575	        1	        2	        3
0.1143	2.9337	        1	        2	        3
0.1143	3.0099	        1	        2	        3
0.1143	3.0861	        1	        2	        3
0.1143	3.1623	        1	        2	        3
0.1143	3.2385	        1	        2	        3
0.1143	3.3147	        1	        2	        3
0.1143	3.3909	        1	        2	        3
0.1143	3.4671	        1	        2	        3
0.1143	3.5433	        1	        2	        3
0.1143	3.6195	        1	        2	        3
0.1143	3.6957	        1	        2	        3
0.1143	3.7719	        1	        2	        3
0.1143	3.8481	        1	        2	        3
0.1143	3.9243	        1	        2	        3
0.1143	4.0005	        1	        2	        3
0.1143	4.0767	        1	        2	        3
0.1143	4.1529	        1	        2	        3
0.1143	4.2291	        1	        2	        3

0.1905	0.0381	        1	        2	        3
0.1905	0.1143	        1	        2	        3
0.1905	0.1905	        1	        2	        3
0.1905	0.2667	        1	        2	        3
0.1905	0.3429	        1	        2	        3
0.1905	0.4191	        1	        2	        3
0.1905	0.4953	        1	        2	        3
0.1905	0.5715	        1	        2	        3
0.1905	0.6477	        1	        2	        3
0.1905	0.7239	        1	        2	        3
0.1905	0.8001	        1	        2	        3
0.1905	0.8763	        1	        2	        3
0.1905	0.9525	        1	        2	        3
0.1905	1.0287	        1	        2	        3
0.1905	1.1049	        1	        2	        3
0.1905	1.1811	        1	        2	        3
0.1905	1.2573	        1	        2	        3
0.1905	1.3335	        1	        2	        3
0.1905	1.4097	        1	        2	        3
0.1905	1.4859	        1	        2	        3
0.1905	1.5621	        1	        2	        3
0.1905	1.6383	        1	        2	        3
0.1905	1.7145	        1	        2	        3
0.1905	1.7907	        1	        2	        3
0.1905	1.8669	        1	        2	        3
0.1905	1.9431	        1	        2	        3
0.1905	2.0193	        1	        2	        3
0.1905	2.0955	        1	        2	        3
0.1905	2.1717	        1	        2	        3
0.1905	2.2479	        1	        2	        3
0.1905	2.3241	        1	        2	        3
0.1905	2.4003	        1	        2	        3
0.1905	2.4765	        1	        2	        3
0.1905	2.5527	        1	        2	        3
0.1905	2.6289	        1	        2	        3
0.1905	2.7051	        1	        2	        3
0.1905	2.7813	        1	        2	        3
0.1905	2.8575	        1	        2	        3
0.1905	2.9337	        1	        2	        3
0.1905	3.0099	        1	        2	        3
0.1905	3.0861	        1	        2	        3
0.1905	3.1623	        1	        2	        3
0.1905	3.2385	        1	        2	        3
0.1905	3.3147	        1	        2	        3
0.1905	3.3909	        1	        2	        3
0.1905	3.4671	        1	        2	        3
0.1905	3.5433	        1	        2	        3
0.1905	3.6195	        1	        2	        3
0.1905	3.6957	        1	        2	        3
0.1905	3.7719	        1	        2	        3
0.1905	3.8481	        1	        2	        3
0.1905	3.9243	        1	        2	        3
0.1905	4.0005	        1	        2	        3
0.1905	4.0767	        1	        2	        3
0.1905	4.1529	        1	        2	        3
0.1905	4.2291	        1	        2	        3

0.2667	0.0381	        1	        2	        3
0.2667	0.1143	        1	        2	        3
0.2667	0.1905	        1	        2	        3
0.2667	0.2667	        1	        2	        3
0.2667	0.3429	        1	        2	        3
0.2667	0.4191	        1	        2	        3
0.2667	0.4953	        1	        2	        3
0.2667	0.5715	        1	        2	        3
0.2667	0.6477	        1	        2	        3
0.2667	0.7239	        1	        2	        3
0.2667	0.8001	        1	        2	        3
0.2667	0.8763	        1	        2	        3
0.2667	0.9525	        1	        2	        3
0.2667	1.0287	        1	        2	        3
0.2667	1.1049	        1	        2	        3
0.2667	1.1811	        1	        2	        3
0.2667	1.2573	        1	        2	        3
0.2667	1.3335	        1	        2	        3
0.2667	1.4097	        1	        2	        3
0.2667	1.4859	        1	        2	        3
0.2667	1.5621	        1	        2	        3
0.2667	1.6383	        1	        2	        3
0.2667	1.7145	        1	        2	        3
0.2667	1.7907	        1	        2	        3
0.2667	1.8669	        1	        2	        3
0.2667	1.9431	        1	        2	        3
0.2667	2.0193	        1	        2	        3
0.2667	2.0955	        1	        2	        3
0.2667	2.1717	        1	        2	        3
0.2667	2.2479	        1	        2	        3
0.2667	2.3241	        1	        2	        3
0.2667	2.4003	        1	        2	        3
0.2667	2.4765	        1	        2	        3
0.2667	2.5527	        1	        2	        3
0.2667	2.6289	        1	        2	        3
0.2667	2.7051	        1	        2	        3
0.2667	2.7813	        1	        2	        3
0.2667	2.8575	        1	        2	        3
0.2667	2.9337	        1	        2	        3
0.2667	3.0099	        1	        2	        3
0.2667	3.0861	        1	        2	        3
0.2667	3.1623	        1	        2	        3
0.2667	3.2385	        1	        2	        3
0.2667	3.3147	        1	        2	        3
0.2667	3.3909	        1	        2	        3
0.2667	3.4671	        1	        2	        3
0.2667	3.5433	        1	        2	        3
0.2667	3.6195	        1	        2	        3
0.2667	3.6957	        1	        2	        3
0.2667	3.7719	        1	        2	        3
0.2667	3.8481	        1	        2	        3
0.2667	3.9243	        1	        2	        3
0.2667	4.0005	        1	        2	        3
0.2667	4.0767	        1	        2	        3
0.2667	4.1529	        1	        2	        3
0.2667	4.2291	        1	        2	        3

0.3429	0.0381	        1	        2	        3
0.3429	0.1143	        1	        2	        3
0.3429	0.1905	        1	        2	        3
0.3429	0.2667	        1	        2	        3
0.3429	0.3429	        1	        2	        3
0.3429	0.4191	        1	        2	        3
0.3429	0.4953	        1	        2	        3
0.3429	0.5715	        1	        2	        3
0.3429	0.6477	        1	        2	        3
0.3429	0.7239	        1	        2	        3
0.3429	0.8001	        1	        2	        3
0.3429	0.8763	        1	        2	        3
0.3429	0.9525	        1	        2	        3
0.3429	1.0287	        1	        2	        3
0.3429	1.1049	        1	        2	        3
0.3429	1.1811	        1	        2	        3
0.3429	1.2573	        1	        2	        3
0.3429	1.3335	        1	        2	        3
0.3429	1.4097	        1	        2	        3
0.3429	1.4859	        1	        2	        3
0.3429	1.5621	        1	        2	        3
0.3429	1.6383	        1	        2	        3
0.3429	1.7145	        1	        2	        3
0.3429	1.7907	        1	        2	        3
0.3429	1.8669	        1	        2	        3
0.3429	1.9431	        1	        2	        3
0.3429	2.0193	        1	        2	        3
0.3429	2.0955	        1	        2	        3
0.3429	2.1717	        1	        2	        3
0.3429	2.2479	        1	        2	        3
0.3429	2.3241	        1	        2	        3
