################################################################## 
# Generated by FullSWOF_2D version 1.07.01, 2016-06-01
################################################################## 
# Final Time
#(i-0.5)*dx	(j-0.5)*dy	h[i][j]	u[i][j]	v[i][j]	h[i][j]+z[i][j]	z[i][j]	velocity_norm[i][j]	Fr[i][j] (Froude)	qx[i][j]	qy[i][j]	q[i][j]
#
0.125	    0.125	      0.0	      0.0	      0.0	0.0580119	0.0580119	      0.0	      NaN	      0.0	      0.0	      0.0
0.125	    0.375	      0.0	      0.0	      0.0	0.0461076	0.0461076	      0.0	      NaN	      0.0	      0.0	      0.0
0.125	    0.625	      0.0	      0.0	      0.0	0.0471683	0.0471683	      0.0	      NaN	      0.0	      0.0	      0.0
0.125	    0.875	      0.0	      0.0	      0.0	0.0559149	0.0559149	      0.0	      NaN	      0.0	      0.0	      0.0
0.125	    1.125	      0.0	      0.0	      0.0	0.0543164	0.0543164	      0.0	      NaN	      0.0	      0.0	      0.0
0.125	    1.375	      0.0	      0.0	      0.0	0.0493492	0.0493492	      0.0	      NaN	      0.0	      0.0	      0.0
0.125	    1.625	      0.0	      0.0	      0.0	0.0493973	0.0493973	      0.0	      NaN	      0.0	      0.0	      0.0
0.125	    1.875	      0.0	      0.0	      0.0	0.0512368	0.0512368	      0.0	      NaN	      0.0	      0.0	      0.0
0.125	    2.125	      0.0	      0.0	      0.0	0.0514046	0.0514046	      0.0	      NaN	      0.0	      0.0	      0.0
0.125	    2.375	      0.0	      0.0	      0.0	0.0490234	0.0490234	      0.0	      NaN	      0.0	      0.0	      0.0
0.125	    2.625	      0.0	      0.0	      0.0	0.0454004	0.0454004	      0.0	      NaN	      0.0	      0.0	      0.0
0.125	    2.875	      0.0	      0.0	      0.0	0.0423794	0.0423794	      0.0	      NaN	      0.0	      0.0	      0.0
0.125	    3.125	      0.0	      0.0	      0.0	0.0416567	0.0416567	      0.0	      NaN	      0.0	      0.0	      0.0
0.125	    3.375	      0.0	      0.0	      0.0	0.0411551	0.0411551	      0.0	      NaN	      0.0	      0.0	      0.0
0.125	    3.625	      0.0	      0.0	      0.0	0.0379167	0.0379167	      0.0	      NaN	      0.0	      0.0	      0.0
0.125	    3.875	      0.0	      0.0	      0.0	0.0310066	0.0310066	      0.0	      NaN	      0.0	      0.0	      0.0
0.125	    4.125	      0.0	      0.0	      0.0	0.0214957	0.0214957	      0.0	      NaN	      0.0	      0.0	      0.0
0.125	    4.375	      0.0	      0.0	      0.0	0.0133709	0.0133709	      0.0	      NaN	      0.0	      0.0	      0.0
0.125	    4.625	      0.0	      0.0	      0.0	0.0112151	0.0112151	      0.0	      NaN	      0.0	      0.0	      0.0
0.125	    4.875	      0.0	      0.0	      0.0	 0.019827	 0.019827	      0.0	      NaN	      0.0	      0.0	      0.0

0.375	    0.125	      0.0	      0.0	      0.0	  0.08509	  0.08509	      0.0	      NaN	      0.0	      0.0	      0.0
